ERROR [2024-07-31 17:26:15] [WARN] - Failed to add AFG_GAS_CAPACITY SCALER generator to AS-AFG node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_MOUNTKEITHNIC540 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_MOUNTMAGNET541 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_MUNGARRA554 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_MUNGULLAH555 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_MURRINMURRIN559 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_NEERABUP562 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:21] [WARN] - Failed to add AUS_GAS_NEWMANIRONORE563 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:22] [WARN] - Failed to add AUS_GAS_NEWPORT564 generator to OC-AUS-VI node, skipping...
ERROR [2024-07-31 17:26:22] [WARN] - Failed to add AUS_GAS_NORTHSYDNEY570 generator to OC-AUS-SW node, skipping...
ERROR [2024-07-31 17:26:22] [WARN] - Failed to add AUS_GAS_OAKEY574 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:22] [WARN] - Failed to add AUS_GAS_OAKYCREEK577 generator to OC-AUS-QL node, skipping...
ERROR [2024-07-31 17:26:22] [WARN] - Failed to add AUS_GAS_ONSLOW578 generator to OC-AUS-WA node, skipping...
ERROR [2024-07-31 17:26:22] [WARN] - Failed to add AUS_GAS_OSBORNE580 generator to OC-AUS-SA node, skipping...
ERROR [2024-07-31 17:26:22] [WARN] - Failed to add AUS_GAS_OWENSPRINGS581 generator to OC-AUS-NT node, skipping...
ERROR [2024-07-31 17:26:22] [WARN] - Failed to add AUS_GAS_PARABURDOO583 generator to OC-AUS-WA node, skipping...
